year,date,time,latitude,longitude,depth,surface_wave_magnitude,abe_magnitude,intensity,max_height,moment_magnitude,available_observations,damage_code,cause,validity,warning_status,region_code,basic_reference,source_region
1933,02 Oct,15:29:27,-1.83,-80.85,15,6.9,N/A,N/A,N/A,N/A,0,0,E,4,N/A,SAM,WWT,Columbia-Ecuador
1933,25 Dec,00:00:00,12.8,124.0,N/A,N/A,N/A,1.0,N/A,N/A,1,0,V,1,N/A,PHI,SG1,E.Samar Island.Philippines
1934,14 Feb,03:59:39,17.46,119.2,15,7.6,N/A,N/A,N/A,N/A,0,0,E,4,N/A,PHI,WWT,W.Luzon Island.Philippines
1934,07 Apr,03:00:00,62.24,7.42,N/A,N/A,N/A,2.0,27.0,6.0,1,M,L,4,N/A,NEA,GTC,"Tafjord, Fjora, Norway"
1934,02 Jun,00:00:00,66.0,-18.25,N/A,6.2,N/A,N/A,N/A,N/A,0,0,E,2,N/A,NAT,BR4,"Dalvik, Fyjafjorour, Iceland"
1934,17 Jul,00:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,E,4,N/A,CAR,LWO,"Panama, Puerto Armueles"
1934,18 Jul,01:36:31,7.9,-82.49,30,7.7,N/A,1.0,N/A,N/A,0,0,E,4,N/A,CAM,SG2,Costa Rica-Panama
1934,18 Jul,19:40:19,-11.94,166.98,10,8.2,N/A,N/A,N/A,N/A,0,0,E,4,N/A,NZT,WWT,Vanuatu Islands
1934,19 Jul,01:27:31,-0.83,133.39,15,7.0,N/A,N/A,N/A,N/A,0,0,E,4,N/A,NGS,WWT,Java Trench
1934,21 Jul,06:18:22,-11.13,165.89,15,7.3,N/A,N/A,N/A,N/A,0,0,E,4,N/A,NGS,WWT,New Hebrides Islands
1934,21 Aug,00:00:00,33.75,-118.23,N/A,N/A,N/A,3.0,12.0,N/A,7,L,M,1,N/A,CAM,LLK,S.CALIFORNIA
1934,04 Dec,17:24:33,-19.23,-69.71,35,6.9,N/A,N/A,N/A,N/A,0,0,E,1,N/A,SAM,LOC,Peru - N. CHILE
1935,19 Jul,00:49:46,36.58,141.61,10,6.5,6.6,-2.0,0.2,-1.0,1,N,E,4,N/A,JAP,IID,"Off Ibaraki Pref.,Japan Trench"
