year,date,time,latitude,longitude,depth,surface_wave_magnitude,abe_magnitude,intensity,max_height,moment_magnitude,available_observations,damage_code,cause,validity,warning_status,region_code,basic_reference,source_region
1862,12 Jan,07:19:00,52.3,106.7,20,7.5,N/A,2.0,N/A,N/A,0,0,E,2,N/A,BAI,GTC,Eastern coat of Baikal Lake
-1628,30 Nov,00:00:00,36.4,25.4,N/A,7.0,N/A,3.0,N/A,6.0,0,0,V,4,N/A,MED,GTC,"Thera Is., S. Aegian Sea"
-1300,30 Nov,00:00:00,40.0,26.0,N/A,N/A,N/A,3.0,N/A,5.0,0,0,U,2,N/A,MED,PAP,"North Agean Sea, Troy"
-760,30 Nov,00:00:00,34.0,35.0,N/A,N/A,N/A,2.0,N/A,3.0,0,0,U,2,N/A,MED,SO1,ISRAEL & LEBANON COASTS
-590,30 Nov,00:00:00,36.7,22.6,N/A,6.8,N/A,2.0,N/A,3.0,0,0,E,2,N/A,MED,SO1,N/A
-525,30 Nov,00:00:00,39.4,22.3,N/A,7.5,N/A,2.0,N/A,3.0,0,0,E,2,N/A,MED,SO1,N/A
-480,29 Sep,00:00:00,37.9,23.3,N/A,6.3,N/A,2.0,N/A,3.0,0,0,E,1,N/A,MED,PAP,Saronic Gulf
-479,30 Nov,00:00:00,39.7,23.3,N/A,6.7,N/A,2.0,N/A,3.0,0,0,E,3,N/A,MED,SO1,MACEDONIA
-479,31 Mar,00:00:00,N/A,N/A,N/A,N/A,N/A,2.0,N/A,3.0,0,0,U,3,N/A,MED,PAP,North Agean Sea
-426,30 Sep,00:00:00,38.9,22.7,N/A,7.0,N/A,2.0,N/A,5.0,0,0,E,4,N/A,MED,PAP,Maliakos Gulf
-373,30 Nov,00:00:00,38.2,22.3,N/A,6.6,N/A,3.0,N/A,5.0,0,0,E,4,N/A,MED,PAP,"Heliki, W.Corinthos Gulf"
-330,30 Nov,00:00:00,40.0,25.0,N/A,7.0,N/A,N/A,N/A,N/A,0,0,E,1,N/A,MED,SO1,EAST SPORADES ISLANDS
-228,30 Nov,00:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,U,1,N/A,MED,PAP,South Evoikos Gulf
-227,30 Nov,00:00:00,36.5,27.8,N/A,7.5,N/A,2.0,N/A,3.0,0,0,E,1,N/A,MED,PAP,Dodecanese Is.
-223,30 Nov,00:00:00,38.8,42.7,N/A,N/A,N/A,N/A,N/A,N/A,0,0,E,2,N/A,MED,PAP,Meliakos Gulf
-220,30 Nov,00:00:00,36.5,28.2,N/A,7.2,N/A,2.0,N/A,3.0,0,0,E,2,N/A,MED,SO1,N/A
-198,30 Nov,00:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,E,1,N/A,MED,SO1,N/A
-197,30 Nov,00:00:00,36.4,25.4,N/A,N/A,N/A,N/A,N/A,N/A,0,0,V,1,N/A,MED,PAP,Thera Isl.
-138,30 Nov,00:00:00,44.1,10.0,N/A,7.0,N/A,2.0,N/A,3.0,0,0,E,2,N/A,MED,SO1,N/A
-60,30 Nov,00:00:00,36.0,-10.0,N/A,6.7,N/A,1.0,N/A,N/A,0,0,E,1,N/A,NEA,GTC,SW Portugal
-58,30 Nov,00:00:00,41.3,19.6,N/A,N/A,N/A,N/A,N/A,N/A,0,0,E,2,N/A,MED,PAP,Albania
-57,30 Nov,00:00:00,41.3,19.5,N/A,6.3,N/A,2.0,N/A,3.0,0,0,E,2,N/A,MED,SO1,Albania
-50,30 Nov,00:00:00,43.5,28.5,N/A,N/A,N/A,N/A,N/A,N/A,0,0,U,N/A,N/A,MED,GTC,Thrace
-50,31 Dec,00:00:00,43.0,41.0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,E,N/A,N/A,MED,GTC,Caucasus
-47,31 Aug,00:00:00,38.0,120.0,N/A,N/A,N/A,2.0,N/A,2.0,0,0,E,2,N/A,JAP,QUAD,"Laizhou Bay, Bo Hai Sea, China"
-26,30 Nov,00:00:00,37.9,28.0,N/A,6.8,N/A,2.0,N/A,4.0,0,0,E,3,N/A,MED,SO1,CYPRUS
-20,30 Nov,00:00:00,42.7,40.8,N/A,6.5,N/A,2.5,3.0,N/A,1,0,E,3,N/A,BLA,NIK1,"Black Sea, Kolhida coast"
46,30 Nov,00:00:00,36.4,25.4,N/A,6.5,N/A,N/A,N/A,N/A,0,0,E,1,N/A,MED,PAP,South Aegian Sea
50,30 Nov,00:00:00,42.9,41.0,10,N/A,N/A,N/A,N/A,N/A,0,0,E,0,N/A,MED,SGN,CIS:  CAUCASUS:  DLOSKURLY
62,30 Nov,00:00:00,36.5,25.4,N/A,6.9,N/A,2.0,N/A,3.0,0,0,V,3,N/A,MED,SO1,"Crete Isl., Cyclades"
66,30 Nov,00:00:00,35.2,23.5,N/A,6.0,N/A,2.0,N/A,3.0,0,0,E,4,N/A,MED,PAP,Crete Isl.
77,20 Jun,00:00:00,37.9,22.9,N/A,6.3,N/A,2.0,N/A,4.0,0,0,E,1,N/A,MED,SO1,SOUTH COASTS OF CRETE
79,25 Sep,07:00:00,40.8,14.4,N/A,N/A,N/A,2.0,N/A,4.0,0,0,V,2,N/A,MED,GTC,"Campania, Gulf of Naples"
103,30 Nov,00:00:00,44.5,33.2,N/A,7.0,N/A,2.0,N/A,N/A,0,0,E,3,N/A,BLA,NIK1,"Black Sea, SE coast, Hersones"
142,30 Nov,00:00:00,36.6,28.0,N/A,7.0,N/A,3.0,N/A,6.0,0,0,E,4,N/A,MED,GTC,Dodecanese Isl.
148,30 Nov,00:00:00,36.7,28.0,N/A,7.0,N/A,2.0,N/A,4.0,0,0,E,3,N/A,MED,SO1,ISLAND OF RHODES
173,27 Jun,00:00:00,39.0,118.0,N/A,N/A,N/A,2.0,N/A,2.0,0,0,E,2,N/A,JAP,QUAD,"Yellow Sea, East China"
177,30 Nov,00:00:00,38.0,15.0,N/A,N/A,N/A,2.0,N/A,6.0,0,0,E,2,N/A,MED,SO1,N/A
258,30 Nov,00:00:00,42.0,12.5,N/A,N/A,N/A,2.0,N/A,4.0,0,0,U,2,N/A,MED,SO1,N/A
262,30 Nov,00:00:00,36.3,30.0,N/A,N/A,N/A,2.0,N/A,3.0,0,0,E,1,N/A,MED,PAP,South Asia Minor
315,30 Nov,00:00:00,N/A,N/A,N/A,N/A,N/A,2.0,N/A,3.0,0,0,U,1,N/A,MED,SO1,N/A
342,30 Jun,00:00:00,41.3,19.5,N/A,N/A,N/A,N/A,N/A,N/A,0,0,E,1,N/A,MED,SO1,CYPRUS
344,30 Nov,00:00:00,40.3,26.5,N/A,6.8,N/A,1.0,N/A,2.0,0,0,E,3,N/A,MED,PAP,Dardanelles
346,30 Nov,00:00:00,41.4,19.4,N/A,6.8,N/A,N/A,N/A,N/A,0,0,E,1,N/A,MED,PAP,Dyrrachium
348,30 Nov,00:00:00,41.9,12.5,N/A,4.1,N/A,1.0,N/A,3.0,0,0,E,2,N/A,MED,SO1,N/A
362,30 Nov,00:00:00,38.0,15.5,N/A,N/A,N/A,3.0,N/A,5.0,0,0,E,2,N/A,MED,SO1,N/A
362,31 Dec,00:00:00,N/A,N/A,N/A,N/A,N/A,3.0,N/A,3.0,0,0,E,1,N/A,MED,SO1,N/A
368,30 Nov,00:00:00,40.5,29.6,N/A,6.4,N/A,N/A,N/A,N/A,0,0,E,2,N/A,MED,PAP,Marmara Sea
382,30 Nov,00:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,E,1,N/A,MED,GTC,SW Portugal
407,01 Apr,00:00:00,41.0,29.0,N/A,6.6,N/A,N/A,N/A,N/A,0,0,E,2,N/A,MED,PAP,Marmara Sea
416,10 Sep,00:00:00,-10.0,120.0,N/A,N/A,N/A,4.0,10.0,6.0,2,0,V,2,N/A,IND,SG1,"Java, Indonesia"
426,30 Nov,00:00:00,40.5,46.5,12,6.7,N/A,2.0,N/A,4.0,0,0,E,3,N/A,MED,SO1,N/A
447,26 Jan,00:00:00,40.9,28.5,N/A,7.3,N/A,2.0,N/A,4.0,0,0,E,3,N/A,MED,PAP,Marmara Sea
450,26 Jan,00:00:00,40.4,28.4,N/A,7.0,N/A,N/A,N/A,N/A,0,0,E,N/A,N/A,MED,GTC,Marmara SEa
478,25 Sep,00:00:00,40.8,29.2,N/A,7.2,N/A,N/A,N/A,N/A,0,0,E,3,N/A,MED,PAP,Marmara Sea
542,30 Nov,00:00:00,N/A,N/A,N/A,N/A,N/A,2.0,N/A,6.0,0,0,E,4,N/A,MED,GTC,Thrace
544,30 Nov,00:00:00,43.1,28.2,N/A,7.5,N/A,3.0,5.0,N/A,1,0,E,4,N/A,BLA,NIK1,"Black Sea Bulgarian coast, Varna"
543,06 Sep,00:00:00,40.3,27.8,N/A,6.8,N/A,2.0,N/A,4.0,0,0,E,3,N/A,MED,SO1,SEA OF MARMARA
544,30 Nov,00:00:00,N/A,N/A,N/A,N/A,N/A,2.0,N/A,4.0,0,0,U,4,N/A,MED,PAP,Thrace
551,07 Jul,00:00:00,38.4,22.3,N/A,7.1,N/A,2.0,N/A,4.0,0,0,E,0,N/A,MED,SO1,ETOLIA
551,09 Jul,00:00:00,40.8,29.9,N/A,7.8,N/A,2.0,N/A,3.0,0,0,E,2,N/A,MED,SO1,N/A
552,30 Apr,00:00:00,38.4,22.4,N/A,7.2,N/A,2.0,N/A,4.0,0,0,E,3,N/A,MED,PAP,Maliakos Gulf
554,15 Aug,00:00:00,37.0,21.7,N/A,7.0,N/A,2.0,N/A,4.0,0,0,E,3,N/A,MED,SO1,Dodecanese Isl.
556,30 Nov,00:00:00,37.0,27.36,N/A,7.0,N/A,2.0,N/A,4.0,0,0,E,3,N/A,MED,PAP,Dodecanese Is.
557,15 Aug,00:00:00,41.0,29.5,N/A,7.5,N/A,2.0,N/A,N/A,0,0,E,3,N/A,MED,NIK1,"Burgas, Bulgaria"
557,14 Oct,00:00:00,40.9,28.6,N/A,7.0,N/A,2.0,N/A,4.0,0,0,E,3,N/A,MED,PAP,Marmara Sea
684,29 Nov,15:00:00,32.5,134.0,N/A,8.4,N/A,3.0,10.0,3.0,2,L,E,4,N/A,JAP,IID,"Nankaido, Japan"
701,12 May,00:00:00,35.7,135.4,N/A,7.0,N/A,3.0,5.0,2.0,1,0,E,4,N/A,JAP,IID,"Tango, Kyoto Pref., Japan"
704,02 Aug,00:00:00,33.8,136.7,N/A,7.0,N/A,2.0,N/A,2.0,1,0,E,4,N/A,JAP,IID,"Kumanonada, Japan"
726,30 Nov,00:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,E,1,N/A,MED,SO1,N/A
740,26 Oct,00:00:00,40.74,29.3,N/A,7.3,N/A,2.0,N/A,3.0,0,0,E,3,N/A,MED,SO1,Marmara Sea
744,30 Jun,00:00:00,32.4,130.5,N/A,6.4,N/A,2.0,N/A,2.0,1,L,E,4,N/A,JAP,IID,"Shimabara, Yatsushiro, Japan"
745,08 Jun,00:00:00,34.6,135.3,N/A,6.5,N/A,2.0,N/A,1.0,1,0,E,3,N/A,JAP,IID,"Osaka Bay, Japan"
746,18 Jan,00:00:00,45.4,12.25,N/A,4.9,N/A,2.0,N/A,3.0,0,0,E,2,N/A,MED,SO1,N/A
766,20 Jul,00:00:00,31.6,130.7,N/A,6.5,N/A,1.5,N/A,1.5,1,0,V,4,N/A,JAP,IID,"N.Kagoshima Bay, Japan"
792,30 Apr,00:00:00,45.5,11.0,N/A,N/A,N/A,2.0,N/A,3.0,0,0,E,1,N/A,MED,SO1,N/A
799,18 Sep,00:00:00,36.0,141.0,N/A,N/A,N/A,1.0,2.0,1.0,1,S,U,2,N/A,JAP,IID,"E Kanto, Ibaraki Pref., Japan"
800,30 Nov,00:00:00,36.2,23.2,N/A,N/A,N/A,3.0,N/A,5.0,0,0,E,1,N/A,MED,PAP,Kyithira Str.
803,19 Dec,00:00:00,36.95,35.58,N/A,N/A,N/A,2.0,N/A,3.0,0,0,E,2,N/A,MED,SO1,GULF OF ISKENDERUN
818,10 Aug,00:00:00,35.2,139.3,N/A,7.9,N/A,1.0,N/A,2.0,1,0,E,4,N/A,JAP,IID,"Kanto, Sagami Bay, Japan"
842,24 Oct,00:00:00,49.5,-2.5,N/A,7.0,N/A,1.0,N/A,N/A,0,0,E,2,N/A,NEA,BR4,"Channel Isl., northern France"
850,27 Nov,00:00:00,39.0,139.9,N/A,7.0,N/A,2.0,N/A,2.0,1,0,L,4,N/A,JAP,IID,"Yomagata, Shonai, Japan"
855,30 Nov,00:00:00,34.0,137.0,N/A,N/A,N/A,1.0,N/A,1.0,0,0,U,1,N/A,JAP,IID,"Kumano, Kii, Japan"
855,22 May,00:00:00,35.3,51.2,N/A,N/A,N/A,N/A,N/A,N/A,0,0,E,1,N/A,MED,SGN,N/A
858,19 Apr,00:00:00,38.0,46.2,N/A,N/A,N/A,2.0,N/A,3.0,0,0,E,2,N/A,MED,SGN,N/A
859,30 Nov,00:00:00,36.08,36.25,N/A,N/A,N/A,2.0,N/A,3.0,0,0,E,2,N/A,MED,SO1,N/A
863,10 Jul,00:00:00,37.1,138.0,N/A,7.0,N/A,2.0,N/A,2.0,0,0,EL,4,N/A,JAP,IID,"Naoetsu, Niigata Pref., Japan"
869,13 Jul,00:00:00,38.5,143.8,N/A,8.6,N/A,4.0,N/A,4.0,4,M,E,4,N/A,JAP,IID,"Sanriku, Japan"
881,10 Jun,00:00:00,36.0,-8.0,N/A,6.5,N/A,3.0,N/A,N/A,0,0,E,1,N/A,NEA,GTC,S of Portugal
887,02 Aug,00:00:00,37.5,138.1,N/A,6.5,N/A,2.0,N/A,2.0,1,L,E,3,N/A,JAP,IID,"W.Echigo,Niigata Pref., Japan"
887,26 Aug,00:00:00,33.0,135.3,N/A,8.6,N/A,3.0,N/A,3.0,2,0,E,4,N/A,JAP,IID,"Nankaido, Japan"
922,30 Nov,00:00:00,33.8,136.7,N/A,7.0,N/A,1.0,N/A,1.0,0,0,E,4,N/A,JAP,IID,"Kumanonada, Japan"
958,23 Feb,00:00:00,35.3,51.2,N/A,N/A,N/A,N/A,N/A,N/A,0,0,E,0,N/A,MED,SGN,"IRAN:  REY (RAY),TALQAN"
963,22 Jul,00:00:00,36.5,37.0,N/A,N/A,N/A,3.0,N/A,5.0,0,0,E,3,N/A,MED,SO1,N/A
975,26 Oct,00:00:00,41.04,28.98,N/A,N/A,N/A,2.0,N/A,3.0,0,0,U,2,N/A,MED,SO1,CONSTANTINOPLE
986,26 Oct,18:00:00,40.8,29.2,N/A,7.5,N/A,2.0,N/A,4.0,0,0,E,3,N/A,MED,PAP,Marmara Sea
991,30 Nov,00:00:00,36.2,48.0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,E,1,N/A,MED,SO1,Siriya
1007,17 Sep,00:00:00,33.2,44.2,N/A,N/A,N/A,N/A,N/A,N/A,0,0,U,2,N/A,MED,SO1,N/A
1011,30 Nov,00:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,E,3,N/A,MED,SO1,N/A
1020,12 May,00:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,E,3,N/A,MED,SO1,N/A
1026,16 Jun,00:00:00,34.8,131.8,N/A,7.5,N/A,3.0,10.0,3.0,1,M,E,3,N/A,JAP,IID,"Masuda, Shimane Pref., Japan"
1032,06 Mar,00:00:00,N/A,N/A,N/A,6.9,N/A,2.0,N/A,3.0,0,0,E,2,N/A,MED,SO1,GAZA
1034,04 Jan,00:00:00,32.8,35.53,N/A,6.2,N/A,2.0,N/A,4.0,0,0,E,2,N/A,MED,SO1,AKKO
1038,27 Mar,00:00:00,39.0,16.3,N/A,N/A,N/A,3.0,N/A,5.0,0,0,E,2,N/A,MED,SO1,N/A
1039,02 Feb,00:00:00,38.4,27.3,N/A,6.8,N/A,N/A,N/A,N/A,0,0,E,1,N/A,MED,SO1,CONSTANTINOPLE
1050,30 Nov,00:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,V,3,N/A,MED,SO1,N/A
1065,23 Sep,00:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,E,3,N/A,MED,SO1,N/A
1068,18 Mar,00:00:00,31.92,34.85,N/A,N/A,N/A,2.0,N/A,4.0,0,0,E,3,N/A,MED,SO1,N/A
1076,31 Oct,00:00:00,23.3,117.0,N/A,N/A,N/A,N/A,N/A,1.0,0,0,U,2,N/A,JAP,SG1,"Zhao'an, South China Sea"
1088,10 Jun,00:00:00,40.5,143.0,N/A,7.0,N/A,1.5,N/A,1.0,1,0,E,4,N/A,JAP,IID,"Sanriku,Iwate pref.. Japan"
1092,13 Sep,00:00:00,37.7,138.6,N/A,N/A,N/A,N/A,N/A,2.0,0,0,M,0,N/A,JAP,IID,"Teradomari, Niigata Pref."
1096,17 Dec,00:00:00,34.0,137.5,N/A,8.2,N/A,2.5,7.0,2.5,2,M,E,4,N/A,JAP,IID,"Enshunada, Japan:TOKKAIDO"
1099,22 Feb,00:00:00,33.0,135.5,N/A,8.2,N/A,N/A,N/A,2.5,0,0,E,4,N/A,JAP,IID,"Nankaido, Japan"
1099,11 Nov,00:00:00,50.1,-5.3,N/A,N/A,N/A,2.0,N/A,N/A,0,0,U,2,N/A,NEA,BR4,"St.Michaels Mount, SW England"
1106,29 Feb,00:00:00,45.5,12.3,N/A,N/A,N/A,2.0,N/A,3.0,0,0,E,0,N/A,MED,SO1,N/A
1112,20 Jun,00:00:00,40.0,14.0,N/A,N/A,N/A,2.0,N/A,4.0,0,0,U,2,N/A,MED,SO1,N/A
1114,12 Mar,00:00:00,36.5,36.0,N/A,7.0,N/A,2.0,N/A,3.0,0,0,E,2,N/A,MED,SO1,SAMANDAG
1134,01 Oct,00:00:00,52.0,3.0,N/A,N/A,N/A,1.0,N/A,N/A,0,0,U,2,N/A,NEA,BR4,Southern North Sea
1169,04 Feb,00:00:00,37.5,15.3,N/A,7.0,N/A,2.0,N/A,4.0,0,0,E,3,N/A,MED,SO1,N/A
1169,11 Feb,00:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,E,3,N/A,MED,SO1,N/A
1172,30 Nov,00:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,E,3,N/A,MED,SO1,N/A
1202,22 May,00:00:00,34.3,33.0,N/A,6.6,N/A,2.0,N/A,4.0,0,0,E,3,N/A,MED,SO1,CYPRUS
1231,11 Mar,00:00:00,41.0,28.6,N/A,6.9,N/A,2.0,N/A,3.0,0,0,E,2,N/A,MED,PAP,Marmara Sea
1241,22 May,00:00:00,35.2,139.4,N/A,7.0,N/A,1.0,N/A,1.0,1,0,E,4,N/A,JAP,IID,"Kamakura,Sagami Bay, Japan"
1257,09 Oct,00:00:00,39.0,144.0,N/A,7.5,N/A,N/A,N/A,2.0,0,0,E,4,N/A,JAP,IID,"Sanriku,Iwate-Miyagi, Japan"
1257,09 Oct,01:00:00,35.2,139.5,N/A,7.0,N/A,1.0,N/A,2.0,0,0,E,4,N/A,JAP,IID,"Kamakura,Sagami Bay, Japan"
1265,10 Aug,00:00:00,40.7,27.4,N/A,6.6,N/A,2.0,N/A,3.0,0,0,E,3,N/A,MED,PAP,Marmara Sea
1270,29 Feb,00:00:00,41.18,19.3,N/A,6.8,N/A,2.0,N/A,3.0,0,0,E,3,N/A,MED,PAP,North Ionian Sea
1273,30 Nov,00:00:00,41.3,19.7,N/A,6.5,N/A,2.0,N/A,3.0,0,0,E,2,N/A,MED,SO1,N/A
1293,27 May,00:00:00,35.2,139.4,N/A,7.1,N/A,N/A,N/A,1.0,0,L,E,0,N/A,JAP,IID,"Kamakura,Sagami Bay. Japan"
1302,30 Nov,00:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,E,1,N/A,MED,SO1,N/A
1303,23 Jul,00:00:00,44.0,9.0,N/A,N/A,N/A,2.0,N/A,N/A,0,0,U,2,N/A,MED,SO1,Ligurian Sea
1303,08 Aug,06:00:00,35.0,27.0,N/A,8.0,N/A,3.0,N/A,5.0,0,0,E,4,N/A,MED,PAP,Dodecanese Isl.
1321,30 Nov,00:00:00,45.4,12.3,N/A,N/A,N/A,2.0,N/A,3.0,0,0,E,2,N/A,MED,SO1,N/A
1329,28 Jun,00:00:00,37.8,15.0,N/A,N/A,N/A,2.0,N/A,3.0,0,0,E,2,N/A,MED,SO1,N/A
1331,13 Mar,00:00:00,44.17,12.25,N/A,N/A,N/A,2.0,N/A,3.0,0,0,E,1,N/A,MED,SO1,N/A
1331,15 Aug,00:00:00,33.7,135.2,N/A,7.0,N/A,N/A,N/A,N/A,0,0,E,3,N/A,JAP,IID,"Tanabe,Wakayama Pref..Japan"
1332,12 Feb,00:00:00,N/A,N/A,N/A,N/A,N/A,2.0,N/A,3.0,0,0,E,2,N/A,MED,SO1,Marmara Sea
1341,31 Oct,00:00:00,41.0,139.5,N/A,7.0,N/A,N/A,N/A,2.5,1,L,E,3,N/A,JAP,IID,"Jusanko,Tsugaru.Aomori .Japan"
1343,20 Oct,00:00:00,40.9,28.0,N/A,7.0,N/A,2.0,N/A,N/A,0,0,E,1,N/A,MED,PAP,"Black and Marmara seas, Bosfor area"
1343,25 Nov,00:00:00,N/A,N/A,N/A,N/A,N/A,2.0,N/A,4.0,0,0,E,2,N/A,MED,SO1,N/A
1348,25 Jan,00:00:00,46.1,13.8,N/A,N/A,N/A,2.0,N/A,3.0,0,0,E,2,N/A,MED,SO1,N/A
1360,23 Nov,00:00:00,33.4,136.2,N/A,7.0,N/A,2.0,N/A,2.0,1,0,E,4,N/A,JAP,IID,Kumanonada. Japan
1361,03 Aug,00:00:00,33.0,135.0,N/A,8.4,N/A,3.0,N/A,3.0,5,M,E,4,N/A,JAP,IID,Nankaido. Japan:KINAI
1365,02 Jan,00:00:00,37.3,49.7,N/A,N/A,N/A,N/A,N/A,N/A,0,0,E,3,N/A,MED,SO1,N/A
1382,30 Apr,00:00:00,52.0,2.0,N/A,7.0,N/A,1.0,N/A,N/A,0,0,E,2,N/A,NEA,PARC,"Britain, France, Brabant"
1389,20 Mar,14:00:00,38.6,26.3,N/A,6.7,N/A,2.0,N/A,4.0,0,0,E,4,N/A,MED,PAP,ISLAND OF CHIOS
1392,27 Jan,00:00:00,46.15,12.22,N/A,N/A,N/A,2.0,N/A,3.0,0,0,U,2,N/A,MED,SO1,Easten Aegian Sea
1402,31 May,00:00:00,38.1,22.4,N/A,7.0,N/A,2.0,N/A,4.0,0,0,E,3,N/A,MED,PAP,Corinthos Gulf
1403,16 Nov,00:00:00,N/A,N/A,N/A,N/A,N/A,2.0,N/A,3.0,0,0,E,2,N/A,MED,SO1,SYRIAN COASTS
1403,30 Nov,00:00:00,33.7,136.5,N/A,7.0,N/A,1.0,N/A,1.0,0,0,E,4,N/A,JAP,IID,Kumanonada. Japan
1406,16 Oct,00:00:00,34.4,138.4,N/A,6.2,N/A,N/A,N/A,1.0,0,0,M,1,N/A,JAP,IID,"Shizuoka, Japan"
1407,23 Aug,00:00:00,38.0,125.3,N/A,N/A,N/A,1.0,N/A,1.0,0,0,U,2,N/A,JAP,SG1,"Hae'ju coast, Korea"
1408,21 Jan,00:00:00,33.8,136.9,N/A,7.0,N/A,1.0,N/A,1.0,0,0,E,4,N/A,JAP,IID,Kumanonada. Japan
1419,25 May,00:00:00,40.9,28.9,N/A,6.6,N/A,2.0,N/A,3.0,0,0,E,3,N/A,MED,PAP,Marmara Sea
1420,07 Sep,00:00:00,35.5,141.0,N/A,N/A,N/A,N/A,2.0,1.0,1,S,U,1,N/A,JAP,IID,Off Ibaraki Pref..Japan
1423,30 Nov,00:00:00,44.4,34.3,N/A,7.5,N/A,2.5,5.0,N/A,1,0,E,4,N/A,BLA,NIK1,"Black Sea, Crimea South coast, Yalta"
1427,30 Nov,00:00:00,36.4,25.4,N/A,N/A,N/A,N/A,N/A,N/A,0,0,V,2,N/A,MED,SO1,"Thera Is., Agean Sea"
1433,07 Nov,00:00:00,34.9,139.5,N/A,7.1,N/A,N/A,N/A,1.0,0,0,E,4,N/A,JAP,IID,"Off Izu-Oshima,Ibaraki. Japan"
1434,06 Aug,00:00:00,37.3,126.0,N/A,N/A,N/A,1.0,N/A,N/A,0,0,U,2,N/A,JAP,SG1,"Inch'on (Chemulpo), Korea"
1437,28 Nov,00:00:00,40.0,26.1,N/A,N/A,N/A,N/A,N/A,N/A,0,0,E,1,N/A,MED,PAP,North Aegian Sea
1444,04 Feb,00:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,V,1,N/A,MED,SO1,N/A
1448,19 Sep,00:00:00,37.5,138.2,N/A,7.0,N/A,N/A,N/A,2.0,1,0,E,3,N/A,JAP,IID,"Off Sado,Niigata Pref..Japan"
1452,30 Nov,00:00:00,-16.83,168.54,N/A,N/A,N/A,3.0,N/A,3.0,0,0,V,3,N/A,NGS,MMRE,"Kuwae volcano, Vanuatu"
1452,05 Dec,00:00:00,41.5,16.5,N/A,N/A,N/A,N/A,N/A,N/A,0,0,E,3,N/A,MED,GTC,"Coast of Apulia, Southrn Italy"
1456,04 Dec,00:00:00,41.3,14.7,N/A,N/A,N/A,2.0,N/A,4.0,0,0,E,2,N/A,MED,SO1,N/A
1481,03 May,00:00:00,36.2,28.5,N/A,7.1,N/A,2.0,1.8,3.0,1,S,E,2,N/A,MED,SO1,N/A
1481,03 Oct,00:00:00,38.2,28.5,N/A,7.1,N/A,2.0,N/A,3.0,0,0,E,4,N/A,MED,PAP,ISLAND OF RHODES
1489,30 Nov,00:00:00,36.6,28.4,N/A,N/A,N/A,2.0,N/A,3.0,0,0,E,2,N/A,MED,PAP,Dodecanese Isl.
1494,01 Jul,16:00:00,35.3,25.0,N/A,7.0,N/A,2.0,N/A,3.0,0,0,E,3,N/A,MED,PAP,Crete Isl.
1495,12 Sep,00:00:00,35.1,139.5,N/A,7.1,N/A,2.0,5.0,2.0,2,M,E,4,N/A,JAP,IID,"Kamakura,Sagami Bay. Japan"
1498,09 Jul,00:00:00,34.4,137.7,N/A,6.4,N/A,N/A,N/A,N/A,0,0,E,2,N/A,JAP,IID,"Enshunada, Japan"
1498,02 Aug,00:00:00,10.0,-61.3,N/A,N/A,N/A,1.0,N/A,N/A,0,0,E,3,N/A,CAR,LWO,"Boca de la Sierpe, Venezuela"
1498,20 Sep,00:00:00,34.0,138.2,N/A,8.3,N/A,3.0,10.0,3.0,1,M,E,4,N/A,JAP,IID,"Enshunada, Japan"
1498,20 Sep,00:00:01,33.5,135.2,N/A,7.5,N/A,N/A,N/A,2.0,0,0,E,4,N/A,JAP,IID,"Nankaido, Japan"
1504,05 Apr,09:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,E,1,N/A,MED,GTC,Lisbon
1508,29 May,00:00:00,35.0,25.5,N/A,7.1,N/A,2.0,N/A,3.0,0,0,E,2,N/A,MED,SO1,SOUTHERN COASTS OF CRETE
1509,17 Jun,00:00:00,31.5,121.5,N/A,N/A,N/A,N/A,N/A,N/A,0,0,E,2,N/A,JAP,SG1,YELLOW SEA
1509,10 Sep,00:00:00,41.1,28.8,N/A,7.4,N/A,3.0,N/A,5.0,0,0,E,4,N/A,MED,PAP,Marmara Sea
1509,14 Sep,00:00:00,40.8,28.1,N/A,7.7,N/A,2.0,N/A,3.0,0,0,E,3,N/A,MED,SO1,CONSTANTINOPLE
1510,21 Sep,00:00:00,34.6,135.4,N/A,6.7,N/A,N/A,N/A,1.0,1,0,E,4,N/A,JAP,IID,"Osaka Bay, Japan"
1510,10 Oct,00:00:00,34.5,137.6,N/A,7.0,N/A,1.0,N/A,2.0,0,0,M,2,N/A,JAP,IID,"Enshunada, Japan"
